Age,Customer ID,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure
67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11
40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16
66,3,Arlin,Dearle,Male,61,Recruiting Manager,Property,Mass Customer,Yes,15
59,4,Talbot,,Male,33,,IT,Mass Customer,No,7
43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8
54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13
44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11
58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7
47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
32,10,Fiorenze,Birdall,Female,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9
26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
65,13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8
37,14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6
20,15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1
43,16,Harlin,Parr,Male,38,Media Manager IV,n/a,Mass Customer,Yes,18
58,17,Heath,Faraday,Male,57,Sales Associate,n/a,Affluent Customer,Yes,15
53,18,Marjie,Neasham,Female,79,Professor,n/a,Affluent Customer,No,11
19,19,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1
40,20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11
40,21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
58,22,Deeanne,Durtnell,Female,79,,IT,Mass Customer,No,11
25,23,Olav,Polak,Male,43,,n/a,High Net Worth,Yes,1
43,24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15
44,25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
42,26,Trixi,Ginnelly,Female,12,Editor,Financial Services,Mass Customer,Yes,16
42,27,Garvin,Klees,Male,37,Research Nurse,Health,Mass Customer,Yes,12
47,28,Fee,Zellmer,Male,5,Senior Quality Engineer,Health,Affluent Customer,Yes,21
52,29,Mona,Sancraft,Female,62,Safety Technician III,Manufacturing,Mass Customer,No,19
59,30,Darrick,Helleckas,Male,18,,IT,Affluent Customer,Yes,6
58,31,Star,Praton,Female,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,14
25,32,Marion,Vanichkin,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4
63,33,Ernst,Hacon,Male,44,Product Engineer,n/a,Affluent Customer,Yes,11
57,35,Margaretha,Strettle,Female,40,Information Systems Manager,Health,High Net Worth,Yes,16
43,36,Lurette,Stonnell,Female,33,VP Quality Control,n/a,Affluent Customer,No,22
35,37,Laurie,Dwerryhouse,Female,46,Social Worker,Health,High Net Worth,No,16
65,38,Cordi,Merman,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,20
41,39,Hunfredo,Smalley,Male,5,Assistant Media Planner,Entertainment,Mass Customer,No,22
39,40,Tomasine,Jerche,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14
44,41,Basilius,Coupe,Male,64,Food Chemist,Health,Mass Customer,No,16
43,42,Chiquita,Durnall,Female,24,Accountant III,Manufacturing,Mass Customer,No,18
37,43,Indira,Belt,Female,38,Director of Sales,Retail,Mass Customer,No,5
39,44,Neron,Verick,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17
45,45,Trace,Woodhead,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,No,8
48,46,Kaila,Allin,Female,98,,n/a,Affluent Customer,Yes,15
28,47,Matthew,Jeaycock,Male,51,Registered Nurse,Health,Affluent Customer,No,2
45,48,Rebbecca,Casone,Female,46,Biostatistician II,n/a,Mass Customer,Yes,8
26,49,Nolly,Ownsworth,Male,63,VP Quality Control,n/a,Affluent Customer,No,1
40,50,Whitby,Schapero,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16
61,51,Fidelio,Dilke,Male,68,Computer Systems Analyst II,Retail,Mass Customer,No,18
