Profit,Age,Customer ID-1,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure,Transaction ID,Product ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost,Customer ID,Address,Postcode,State,Property Value
509.97,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,18970,11,29-03-2017,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,1,060 Morning Avenue,2016,NSW,10
75.14,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,16423,9,09-12-2017,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1,060 Morning Avenue,2016,NSW,10
431.33,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,15663,32,04-06-2017,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,1,060 Morning Avenue,2016,NSW,10
57.73,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,14931,31,14-12-2017,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1,060 Morning Avenue,2016,NSW,10
75.75,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,14486,23,27-03-2017,False,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1,060 Morning Avenue,2016,NSW,10
709.34,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,13644,25,19-05-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1,060 Morning Avenue,2016,NSW,10
17.87,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,13424,2,21-02-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62,1,060 Morning Avenue,2016,NSW,10
90.1,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,9785,72,05-01-2017,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1,060 Morning Avenue,2016,NSW,10
189.28,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,5157,47,11-05-2017,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1,060 Morning Avenue,2016,NSW,10
751.02,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,3765,38,06-04-2017,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,1,060 Morning Avenue,2016,NSW,10
110.56,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,94,86,23-12-2017,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1,060 Morning Avenue,2016,NSW,10
1230.3,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,16411,26,24-08-2017,False,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2,6 Meadow Vale Court,2153,NSW,10
547.28,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,6743,85,11-06-2017,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2,6 Meadow Vale Court,2153,NSW,10
448.68,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,2261,1,04-05-2017,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2,6 Meadow Vale Court,2153,NSW,10
179.44,59,4,Talbot,,Male,33,,IT,Mass Customer,No,7,14648,62,18-06-2017,True,Approved,Solex,Standard,medium,medium,478.16,298.72,4,0 Holy Cross Court,4211,QLD,9
41.13,59,4,Talbot,,Male,33,,IT,Mass Customer,No,7,12441,95,03-04-2017,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,4,0 Holy Cross Court,4211,QLD,9
574.62,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,19993,13,28-04-2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,5,17979 Del Mar Point,2448,NSW,4
129.01,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,13058,96,26-05-2017,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77,5,17979 Del Mar Point,2448,NSW,4
1230.27,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,7692,39,14-12-2017,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,5,17979 Del Mar Point,2448,NSW,4
75.48,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,2534,84,03-05-2017,False,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,5,17979 Del Mar Point,2448,NSW,4
75.75,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,2291,23,03-03-2017,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,5,17979 Del Mar Point,2448,NSW,4
309.81,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,n/a,Affluent Customer,Yes,8,2250,34,16-08-2017,False,Approved,Norco Bicycles,Road,high,large,774.53,464.72,5,17979 Del Mar Point,2448,NSW,4
1055.82,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,8204,12,06-02-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,6,9 Oakridge Court,3216,VIC,9
1660.88,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,7096,77,28-01-2017,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,6,9 Oakridge Court,3216,VIC,9
1028.76,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,5749,54,27-10-2017,True,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,6,9 Oakridge Court,3216,VIC,9
57.73,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,4013,0,16-09-2017,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,6,9 Oakridge Court,3216,VIC,9
143.36,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,902,0,21-05-2017,False,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,6,9 Oakridge Court,3216,VIC,9
15.08,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,18549,22,24-02-2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,7,4 Delaware Trail,2210,NSW,9
90.1,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,18369,72,18-02-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,7,4 Delaware Trail,2210,NSW,9
114.93,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,3954,5,21-04-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,7,4 Delaware Trail,2210,NSW,9
1702.55,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,19844,3,28-01-2017,,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,8,49 Londonderry Lane,2650,NSW,4
356.5,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,17199,45,11-08-2017,False,Approved,Solex,Standard,medium,medium,441.49,84.99,8,49 Londonderry Lane,2650,NSW,4
448.68,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,15024,1,21-04-2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,8,49 Londonderry Lane,2650,NSW,4
451.65,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,13266,4,04-10-2017,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,8,49 Londonderry Lane,2650,NSW,4
1305.25,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,10792,89,04-01-2017,True,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,8,49 Londonderry Lane,2650,NSW,4
451.65,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,9039,4,21-10-2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,8,49 Londonderry Lane,2650,NSW,4
128.46,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,8415,76,11-04-2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,8,49 Londonderry Lane,2650,NSW,4
309.81,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,7636,34,13-07-2017,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72,8,49 Londonderry Lane,2650,NSW,4
1702.55,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,5321,3,08-12-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,8,49 Londonderry Lane,2650,NSW,4
209.84,58,8,Rod,Inder,Male,31,Media Manager I,n/a,Mass Customer,No,7,3688,15,22-09-2017,True,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,8,49 Londonderry Lane,2650,NSW,4
751.02,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,10662,38,30-09-2017,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,9,97736 7th Trail,2023,NSW,12
91.15,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,9405,6,20-08-2017,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,9,97736 7th Trail,2023,NSW,12
198.22,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,8591,69,04-02-2017,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,9,97736 7th Trail,2023,NSW,12
437.46,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,4233,36,13-10-2017,False,Approved,Solex,Standard,low,medium,945.04,507.58,9,97736 7th Trail,2023,NSW,12
547.28,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,2979,85,06-03-2017,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,9,97736 7th Trail,2023,NSW,12
327.98,47,9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,2501,59,10-05-2017,False,Approved,Solex,Standard,medium,large,1061.56,733.58,9,97736 7th Trail,2023,NSW,12
451.65,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,18879,4,14-11-2017,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,11,93405 Ludington Park,3044,VIC,8
547.28,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,16846,85,02-06-2017,,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,11,93405 Ludington Park,3044,VIC,8
1103.43,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,14370,10,09-07-2017,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,11,93405 Ludington Park,3044,VIC,8
299.27,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,10444,30,02-08-2017,False,Approved,Solex,Standard,high,medium,748.17,448.9,11,93405 Ludington Park,3044,VIC,8
1103.43,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,9240,10,30-10-2017,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,11,93405 Ludington Park,3044,VIC,8
133.78,66,11,Uriah,Bisatt,Male,99,,Property,Mass Customer,No,9,6004,28,02-04-2017,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,11,93405 Ludington Park,3044,VIC,8
133.78,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,19219,28,16-09-2017,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,12,44339 Golden Leaf Alley,4557,QLD,4
309.81,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,14250,34,24-10-2017,True,Approved,Norco Bicycles,Road,high,large,774.53,464.72,12,44339 Golden Leaf Alley,4557,QLD,4
1660.88,26,12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,13818,44,21-08-2017,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,12,44339 Golden Leaf Alley,4557,QLD,4
