Profit,Transaction ID,Product ID,Date,Brand,Product Line,Product Class,Size,Customer ID,Address,Postcode,State,Property Value
17.87,1,2,25-02-2017,Solex,Standard,medium,medium,2950,984 Hoepker Court,3064,VIC,6
1702.55,2,3,21-05-2017,Trek Bicycles,Standard,medium,large,3120,4 Shopko Circle,2196,NSW,5
1544.61,3,37,16-10-2017,OHM Cycles,Standard,low,medium,402,586 Miller Parkway,2835,NSW,1
817.36,4,88,31-08-2017,Norco Bicycles,Standard,medium,medium,3135,1617 Harper Parkway,2096,NSW,10
1055.82,5,78,01-10-2017,Giant Bicycles,Standard,medium,large,787,0601 Stephen Place,2292,NSW,7
709.34,6,25,08-03-2017,Giant Bicycles,Road,medium,medium,2339,7174 Thackeray Point,2153,NSW,10
15.08,7,22,21-04-2017,WeareA2B,Standard,medium,medium,1542,243 Mosinee Place,2155,NSW,10
1279.4,8,15,15-07-2017,WeareA2B,Standard,medium,medium,2459,975 Annamark Hill,4034,QLD,6
690.49,9,67,10-08-2017,Solex,Standard,medium,large,1305,3 School Place,4124,QLD,4
1069.55,10,12,30-08-2017,WeareA2B,Standard,medium,medium,3262,2558 Morningstar Center,4221,QLD,8
114.93,11,5,17-01-2017,Trek Bicycles,Mountain,low,medium,1986,366 International Way,2170,NSW,8
14.23,12,61,05-01-2017,OHM Cycles,Standard,low,medium,2783,13392 Emmet Parkway,2171,NSW,9
903.11,13,35,26-02-2017,Trek Bicycles,Standard,low,medium,1243,2 Eliot Lane,2155,NSW,11
182.81,14,16,10-09-2017,Norco Bicycles,Standard,high,small,2717,6994 Hanson Place,2580,NSW,5
1055.82,15,12,11-06-2017,Giant Bicycles,Standard,medium,large,247,2 2nd Plaza,2283,NSW,4
1702.55,16,3,10-10-2017,Trek Bicycles,Standard,medium,large,2961,8 Roxbury Way,3031,VIC,8
737.57,17,79,03-04-2017,Norco Bicycles,Standard,medium,medium,2426,4 Becker Center,2145,NSW,10
144.26,18,33,02-06-2017,Giant Bicycles,Standard,medium,small,1842,9649 Cascade Way,2250,NSW,8
1279.4,19,54,06-04-2017,WeareA2B,Standard,medium,medium,2268,9574 David Lane,3218,VIC,8
