Profit,Age,Customer ID,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure,Transaction ID,Product ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost
17.87,65,2950,Kristos,Anthony,Male,19,Software Engineer I,Financial Services,Mass Customer,Yes,10,1,2,25-02-2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
1702.55,41,3120,Lauree,O'Donnell,Female,89,Clinical Specialist,Health,Mass Customer,Yes,10,2,3,21-05-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
1544.61,43,402,Berne,Donegan,Male,9,Desktop Support Technician,Retail,Affluent Customer,No,22,3,37,16-10-2017,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
817.36,58,3135,Titus,Worsall,Male,83,Staff Scientist,Financial Services,Mass Customer,No,16,4,88,31-08-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
1055.82,24,787,Norma,Batrim,Female,29,,Retail,Affluent Customer,Yes,2,5,78,01-10-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
709.34,62,2339,Damien,Haddeston,Male,3,Web Designer II,Property,Affluent Customer,Yes,16,6,25,08-03-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
15.08,42,1542,Sanders,Fernyhough,Male,56,Food Chemist,Health,Mass Customer,Yes,12,7,22,21-04-2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
1279.4,34,2459,Jeanna,Naulls,Female,67,Quality Engineer,Manufacturing,High Net Worth,No,18,8,15,15-07-2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
690.49,50,1305,Averil,Gentiry,Male,97,Executive Secretary,Financial Services,High Net Worth,Yes,6,9,67,10-08-2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74
1069.55,61,3262,Maynord,L'Episcopi,Male,65,Product Engineer,Entertainment,Mass Customer,No,12,10,12,30-08-2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6
114.93,39,1986,Melania,Ruske,Female,53,,Retail,Mass Customer,No,16,11,5,17-01-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
14.23,42,2783,Antonin,Gleaves,Male,14,Sales Representative,Retail,Affluent Customer,Yes,7,12,61,05-01-2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
903.11,67,1243,Robbert,Blakey,Male,73,Research Assistant II,Retail,Mass Customer,No,8,13,35,26-02-2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
182.81,39,2717,Frederic,McGown,Male,31,Registered Nurse,Health,Mass Customer,No,13,14,16,10-09-2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
1055.82,37,247,Kristal,Joysey,Female,62,Staff Accountant II,Financial Services,High Net Worth,Yes,13,15,12,11-06-2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
1702.55,45,2961,Merv,Barradell,Male,56,Assistant Manager,Health,Mass Customer,Yes,12,16,3,10-10-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
144.26,43,1842,Ephrayim,Beville,Male,89,Accountant IV,Financial Services,Mass Customer,No,8,18,33,02-06-2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
1279.4,55,2268,Wilhelmina,Gothup,Female,66,Pharmacist,Health,Mass Customer,No,19,19,54,06-04-2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
709.34,64,3002,Tracey,Verdun,Male,62,Paralegal,Financial Services,Mass Customer,Yes,16,20,25,28-01-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
