Profit,Age,Customer ID,First Name,Last Name,Gender,Purchase History,Job Title,Industry,Customer Segment,Car,Tenure,Transaction ID,Product ID,Date,Online,Status,Brand,Product Line,Product Class,Size,List Price,Cost,F23,Address,Postcode,State,Property Value
509.97,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,18970,11,29-03-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,,060 Morning Avenue,2016,NSW,10
75.14,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,16423,9,09-12-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,,060 Morning Avenue,2016,NSW,10
431.33,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,15663,32,04-06-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,,060 Morning Avenue,2016,NSW,10
57.73,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,14931,31,14-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,,060 Morning Avenue,2016,NSW,10
75.75,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,14486,23,27-03-2017,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,,060 Morning Avenue,2016,NSW,10
709.34,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,13644,25,19-05-2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,,060 Morning Avenue,2016,NSW,10
25.02,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,13424,2,21-02-2017,FALSE,Approved,Solex,Standard,medium,medium,78.639,53.62,,060 Morning Avenue,2016,NSW,10
90.10,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,9785,72,05-01-2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,,060 Morning Avenue,2016,NSW,10
189.28,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,5157,47,11-05-2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,,060 Morning Avenue,2016,NSW,10
908.77,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,3765,38,06-04-2017,TRUE,Approved,Solex,Standard,medium,medium,1735.283,826.51,,060 Morning Avenue,2016,NSW,10
110.56,67,1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,94,86,23-12-2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,,060 Morning Avenue,2016,NSW,10
1230.30,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,16411,26,24-08-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,,6 Meadow Vale Court,2153,NSW,10
547.28,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,6743,85,11-06-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,,6 Meadow Vale Court,2153,NSW,10
448.68,40,2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,2261,1,04-05-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,,6 Meadow Vale Court,2153,NSW,10
227.26,59,4,Talbot,,Male,33,,IT,Mass Customer,No,7,14648,62,18-06-2017,TRUE,Approved,Solex,Standard,medium,medium,525.976,298.72,,0 Holy Cross Court,4211,QLD,9
41.13,59,4,Talbot,,Male,33,,IT,Mass Customer,No,7,12441,95,03-04-2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,,0 Holy Cross Court,4211,QLD,9
691.01,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,19993,13,28-04-2017,FALSE,Approved,Solex,Standard,medium,medium,1280.279,589.27,,17979 Del Mar Point,2448,NSW,4
129.01,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,13058,96,26-05-2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,,17979 Del Mar Point,2448,NSW,4
1230.27,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,7692,39,14-12-2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,,17979 Del Mar Point,2448,NSW,4
75.48,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,2534,84,03-05-2017,FALSE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,,17979 Del Mar Point,2448,NSW,4
75.75,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,2291,23,03-03-2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,,17979 Del Mar Point,2448,NSW,4
309.81,43,5,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,Yes,8,2250,34,16-08-2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,,17979 Del Mar Point,2448,NSW,4
1055.82,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,8204,12,06-02-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,,9 Oakridge Court,3216,VIC,9
1660.88,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,7096,77,28-01-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,,9 Oakridge Court,3216,VIC,9
1028.76,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,5749,54,27-10-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,,9 Oakridge Court,3216,VIC,9
57.73,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,4013,0,16-09-2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,,9 Oakridge Court,3216,VIC,9
143.36,54,6,Curr,Duckhouse,Male,35,,Retail,High Net Worth,Yes,13,902,0,21-05-2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,,9 Oakridge Court,3216,VIC,9
15.08,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,18549,22,24-02-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,,4 Delaware Trail,2210,NSW,9
90.10,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,18369,72,18-02-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,,4 Delaware Trail,2210,NSW,9
114.93,44,7,Fina,Merali,Female,6,,Financial Services,Affluent Customer,Yes,11,3954,5,21-04-2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,,4 Delaware Trail,2210,NSW,9
1702.55,58,8,Rod,Inder,Male,31,Media Manager I,,Mass Customer,No,7,19844,3,28-01-2017,,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,,49 Londonderry Lane,2650,NSW,4
